title	author
Fifty Shades Darker (Fifty Shades, #2)	E.L. James
Fifty Shades Freed (Fifty Shades, #3)	E.L. James
Into the Wild	Jon Krakauer
The Picture of Dorian Gray	Oscar Wilde
The Girl Who Played with Fire (Millennium, #2)	Stieg Larsson
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle
Where the Wild Things Are	Maurice Sendak
A Time to Kill (Jake Brigance, #1)	John Grisham
The Count of Monte Cristo	Alexandre Dumas
The count of Montecristo	Alexandre Dumas
City of Glass (The Mortal Instruments, #3)	Cassandra Clare
Stad van Glas (Kronieken van de onderwereld, #3)	Cassandra Clare
The Adventures of Tom Sawyer	Mark Twain
A Clash of Kings  (A Song of Ice and Fire, #2)	George R.R. Martin
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare
The Poisonwood Bible	Barbara Kingsolver
Confessions of a Shopaholic (Shopaholic, #1)	Sophie Kinsella
One Hundred Years of Solitude	Gabriel Garcí­a Márquez
Hamlet	William Shakespeare
Hamlet (The Arden Shakespeare: Third Series)	William Shakespeare
Les Misérables	Victor Hugo
Catch-22	Joseph Heller
A Walk to Remember	Nicholas Sparks
The Road	Cormac McCarthy
The Scarlet Letter	Nathaniel Hawthorne
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)	Steven D. Levitt
The Joy Luck Club	Amy Tan
Bossypants	Tina Fey
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire
Tuesdays with Morrie	Mitch Albom
The Memory Keeper's Daughter	Kim Edwards
Anne of Green Gables (Anne of Green Gables, #1)	L.M. Montgomery
The Sisterhood of the Traveling Pants (Sisterhood, #1)	Ann Brashares
Me Talk Pretty One Day	David Sedaris
The Handmaid's Tale	Margaret Atwood
The Grapes of Wrath	John Steinbeck
The Sea of Monsters (Percy Jackson and the Olympians, #2)	Rick Riordan
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)	Rick Riordan
Macbeth	William Shakespeare
The Girl Who Kicked the Hornet's Nest (Millennium, #3)	Stieg Larsson
If I Stay (If I Stay, #1)	Gayle Forman
Si je reste	Gayle Forman
Middlesex	Jeffrey Eugenides
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien
The Old Man and the Sea	Ernest Hemingway
One Flew Over the Cuckoo's Nest	Ken Kesey
Outlander (Outlander, #1)	Diana Gabaldon
Lolita	Vladimir Nabokov
The Annotated Lolita	Vladimir Nabokov
Matched (Matched, #1)	Ally Condie
Charlie and the Chocolate Factory (Charlie Bucket, #1)	Roald Dahl
Dune (Dune Chronicles, #1)	Frank Herbert
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin
Bouře mečů (Píseň ledu a ohně, #3)	George R.R. Martin
Tormenta de espadas	George R.R. Martin
Tormenta de espadas (Canción de Hielo y Fuego, #3)	George R.R. Martin
The Firm	John Grisham
Emma	Jane Austen
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien
Thirteen Reasons Why	Jay Asher
Room	Emma Donoghue
Great Expectations	Charles Dickens
Divine Secrets of the Ya-Ya Sisterhood	Rebecca Wells
The Five People You Meet in Heaven	Mitch Albom
Green Eggs and Ham	Dr. Seuss
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare
The Pillars of the Earth  (The Pillars of the Earth, #1)	Ken Follett
El último héroe del Olimpo (Percy Jackson y los dioses del Olimpo, #5)	Rick Riordan
The Last Olympian (Percy Jackson and the Olympians, #5)	Rick Riordan
The Lost Hero (Heroes of Olympus, #1)	Rick Riordan
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan
Girl With a Pearl Earring	Tracy Chevalier
Eleanor & Park	Rainbow Rowell
Eleonora & Park	Rainbow Rowell
Bayan Peregrine'in Tuhaf Çocukları (Miss Peregrine, #1)	Ransom Riggs
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)	Ransom Riggs
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris
The Red Tent	Anita Diamant
The Tipping Point: How Little Things Can Make a Big Difference	Malcolm Gladwell
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin
Deception Point	Dan Brown
Unbroken: A World War II Story of Survival, Resilience, and Redemption	Laura Hillenbrand
Rugobe	Scott Westerfeld
Uglies (Uglies, #1)	Scott Westerfeld
Beautiful Creatures (Caster Chronicles, #1)	Kami Garcia
American Gods	Neil Gaiman
A Clockwork Orange	Anthony Burgess
Kellopeli appelsiini	Anthony Burgess
Laranja Mecânica	Anthony Burgess
The Stand	Stephen King
Matilda	Roald Dahl
Anna Karenina	Leo Tolstoy
Steve Jobs	Walter Isaacson
Sivullinen	Albert Camus
The Outsider	Albert Camus
The Stranger	Albert Camus
Ο ξένος	Albert Camus
Dear John	Nicholas Sparks
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick
Blutsschwestern (Vampire Academy, #1)	Richelle Mead
Vampire Academy	Richelle Mead
Vampire Academy (Vampire Academy, #1)	Richelle Mead
The Bell Jar	Sylvia Plath
Something Borrowed (Darcy & Rachel, #1)	Emily Giffin
The Last Song	Nicholas Sparks
The Night Circus	Erin Morgenstern
The Titan's Curse (Percy Jackson and the Olympians, #3)	Rick Riordan
Beautiful Disaster (Beautiful, #1)	Jamie McGuire
It	Stephen King
Digital Fortress	Dan Brown
The Lord of the Rings (The Lord of the Rings, #1-3)	J.R.R. Tolkien
Crime and Punishment	Fyodor Dostoyevsky
Crime and Punishment: A Norton Critical Edition	Fyodor Dostoyevsky
A Christmas Carol	Charles Dickens
Eine Weihnachtsgeschichte	Charles Dickens
The Guernsey Literary and Potato Peel Pie Society	Mary Ann Shaffer
A marsi	Andy Weir
The Martian	Andy Weir
Angela's Ashes	Frank McCourt
Angela's Ashes (Frank McCourt, #1)	Frank McCourt
Ein ganzes halbes Jahr	Jojo Moyes
Me Before You	Jojo Moyes
Me Before You (Me Before You, #1)	Jojo Moyes
The Selection (The Selection, #1)	Kiera Cass
The Other Boleyn Girl	Philippa Gregory
The Other Boleyn Girl (The Tudor Court, #2)	Philippa Gregory
In Cold Blood	Truman Capote
The Color Purple	Alice Walker
The Shack	Wm. Paul Young
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice
Интервью с вампиром (The Vampire Chronicles, #1)	Anne Rice
Steglitsan	Donna Tartt
The Goldfinch	Donna Tartt
Щегол	Donna Tartt
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis
Fallen (Fallen, #1)	Lauren Kate
Moby Dick	Herman Melville
Moby Dick: or, the White Whale	Herman Melville
Moby-Dick; or, The Whale	Herman Melville
One for the Money (Stephanie Plum, #1)	Janet Evanovich
Siddartha	Hermann Hesse
Siddharta	Hermann Hesse
Siddhartha	Hermann Hesse
A Dance with Dragons (A Song of Ice and Fire, #5)	George R.R. Martin
The Lost Symbol (Robert Langdon, #3)	Dan Brown
Watchmen	Alan Moore
And Then There Were None	Agatha Christie
Diez negritos	Agatha Christie
E Não Sobrou Nenhum	Agatha Christie
Artemis Fowl (Artemis Fowl, #1)	Eoin Colfer
Alice's Adventures in Wonderland & Through the Looking-Glass	Lewis Carroll
Bared to You (Crossfire, #1)	Sylvia Day
Alice in Wonderland (Alice's Adventures in Wonderland, #1)	Lewis Carroll
Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)	Lewis Carroll
Liisa Ihmemaassa	Lewis Carroll
Persuasion	Jane Austen
El club de la pelea	Chuck Palahniuk
Fight Club	Chuck Palahniuk
El nombre del viento (Crónica del asesino de reyes, #1)	Patrick Rothfuss
Jméno větru (Kronika Královraha, #1)	Patrick Rothfuss
O Nome do Vento (A Crônica do Matador do Rei, #1)	Patrick Rothfuss
Rüzgarın Adı (Kralkatili Güncesi, #1)	Patrick Rothfuss
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss
Marked (House of Night, #1)	P.C. Cast
The Metamorphosis	Franz Kafka
Shiver (The Wolves of Mercy Falls, #1)	Maggie Stiefvater
Atonement	Ian McEwan
Marley and Me: Life and Love With the World's Worst Dog	John Grogan
The Silence of the Lambs  (Hannibal Lecter, #2)	Thomas Harris
All the Light We Cannot See	Anthony Doerr
Wild	Cheryl Strayed
Wild: From Lost to Found on the Pacific Crest Trail	Cheryl Strayed
Speak	Laurie Halse Anderson
Cinder (The Lunar Chronicles, #1)	Marissa Meyer
The Immortal Life of Henrietta Lacks	Rebecca Skloot
Outliers: The Story of Success	Malcolm Gladwell
Carrie	Stephen King
City of Fallen Angels (The Mortal Instruments, #4)	Cassandra Clare
A Midsummer Night's Dream	William Shakespeare
Bridge to Terabithia	Katherine Paterson
Sarah's Key	Tatiana de Rosnay
Ella Enchanted	Gail Carson Levine
Number the Stars	Lois Lowry
Delirium (Delirium, #1)	Lauren Oliver
The Art of Racing in the Rain	Garth Stein
The Nanny Diaries (Nanny, #1)	Emma McLaughlin
The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America	Erik Larson
The Bourne Identity (Jason Bourne, #1)	Robert Ludlum
A Child Called "It" (Dave Pelzer #1)	Dave Pelzer
East of Eden	John Steinbeck
Misery	Stephen King
Blink: The Power of Thinking Without Thinking	Malcolm Gladwell
The Cat in the Hat	Dr. Seuss
Labirent: Alev Deneyleri (Maze Runner, #2)	James Dashner
Prova de Fogo (The Maze Runner, #2)	James Dashner
The Scorch Trials (Maze Runner, #2)	James Dashner
World War Z: An Oral History of the Zombie War	Max Brooks
Coraline	Neil Gaiman
Dark Places	Gillian Flynn
Silahşor (Kara Kule, #1)	Stephen King
The Gunslinger (The Dark Tower, #1)	Stephen King
Love in the Time of Cholera	Gabriel Garcí­a Márquez
The Client	John Grisham
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	C.S. Lewis
An Abundance of Katherines	John Green
Twilight: The Complete Illustrated Movie Companion	Mark Cotta Vaz
Rebecca	Daphne du Maurier
Running with Scissors	Augusten Burroughs
Extremely Loud and Incredibly Close	Jonathan Safran Foer
A Tree Grows in Brooklyn	Betty  Smith
Flowers for Algernon	Daniel Keyes
Flowers for Algernon	Daniel Keyes
City of Lost Souls (The Mortal Instruments, #5)	Cassandra Clare
Inkheart (Inkworld, #1)	Cornelia Funke
Tintenherz (1-4)	Cornelia Funke
Never Let Me Go	Kazuo Ishiguro
Never Let Me Go	Kazuo Ishiguro
Into Thin Air: A Personal Account of the Mount Everest Disaster	Jon Krakauer
Buenos presagios	Terry Pratchett
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett
The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)	Carlos Ruiz Zafón
Watership Down	Richard Adams
Ready Player One	Ernest Cline
Treasure Island	Robert Louis Stevenson
Along Came a Spider	James Patterson
Along Came a Spider (Alex Cross, #1)	James Patterson
The Graveyard Book	Neil Gaiman
The Son of Neptune (The Heroes of Olympus, #2)	Rick Riordan
Inferno (Robert Langdon, #4)	Dan Brown
الجحيم (Robert Langdon, #4)	Dan Brown
The Sun Also Rises	Ernest Hemingway
A Light in the Attic	Shel Silverstein
Sharp Objects	Gillian Flynn
The Magician's Nephew (Chronicles of Narnia, #6)	C.S. Lewis
Like Water for Chocolate	Laura Esquivel
O Oceano no Fim do Caminho	Neil Gaiman
The Ocean at the End of the Lane	Neil Gaiman
Atlas Shrugged	Ayn Rand
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time	Greg Mortenson
The Very Hungry Caterpillar	Eric Carle
Snow Flower and the Secret Fan	Lisa See
Heart of Darkness	Joseph Conrad
Heart of Darkness: A Norton Critical Edition	Joseph Conrad
El canto del cuco (Cormoran Strike, #1)	Robert Galbraith
Koekoeksjong (Cormoran Strike #1)	Robert Galbraith
The Cuckoo's Calling (Cormoran Strike, #1)	Robert Galbraith
Graceling (Graceling Realm, #1)	Kristin Cashore
Legend (Legend, #1)	Marie Lu
Fangirl	Rainbow Rowell
Kiss the Girls (Alex Cross, #2)	James Patterson
The Boy in the Striped Pajamas	John Boyne
La lección de August	R.J. Palacio
Wonder	R.J. Palacio
Under the Tuscan Sun	Frances Mayes
The Time Machine	H.G. Wells
The Pelican Brief	John Grisham
Clockwork Prince (The Infernal Devices, #2)	Cassandra Clare
Foundation (Foundation, #1)	Isaac Asimov
Pet Sematary	Stephen King
Where the Red Fern Grows	Wilson Rawls
James and the Giant Peach	Roald Dahl
Is Everyone Hanging Out Without Me?	Mindy Kaling
P.S. I Love You	Cecelia Ahern
Can You Keep a Secret?	Sophie Kinsella
Sag's nicht weiter, Liebling	Sophie Kinsella
The Husband's Secret	Liane Moriarty
The Husband's Secret	Liane Moriarty
The Lucky One	Nicholas Sparks
On the Road	Jack Kerouac
The Hunt for Red October (Jack Ryan Universe, #4)	Tom Clancy
The Bad Beginning (A Series of Unfortunate Events, #1)	Lemony Snicket
Frostbite (Vampire Academy, #2)	Richelle Mead
Neverwhere	Neil Gaiman
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum
Eldest (Inheritance, #2)	Christopher Paolini
Eldest (The Inheritance Cycle, #2)	Christopher Paolini
Prince Caspian (Chronicles of Narnia, #2)	C.S. Lewis
She's Come Undone	Wally Lamb
Reflected in You (Crossfire, #2)	Sylvia Day
Cutting for Stone	Abraham Verghese
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	Stephen R. Covey
The Godfather	Mario Puzo
Cat's Cradle	Kurt Vonnegut
The Thorn Birds	Colleen McCullough
Shadow Kiss (Vampire Academy, #3)	Richelle Mead
The Tales of Beedle the Bard	J.K. Rowling
The Tales of Beedle the Bard	J.K. Rowling
11/22/63	Stephen King
22.11.63	Stephen King
I Am Number Four (Lorien Legacies, #1)	Pittacus Lore
Soy el Número Cuatro (Legados de Lorien, #1)	Pittacus Lore
The Subtle Knife (His Dark Materials, #2)	Philip Pullman
Safe Haven	Nicholas Sparks
Wie ein Licht in der Nacht	Nicholas Sparks
I Know Why the Caged Bird Sings	Maya Angelou
The Iliad	Homer
The Iliad of Homer	Homer
Goodnight Moon	Margaret Wise Brown
I Know This Much Is True	Wally Lamb
Good in Bed (Cannie Shapiro, #1)	Jennifer Weiner
The Fountainhead	Ayn Rand
How to Win Friends and Influence People	Dale Carnegie
Anna and the French Kiss (Anna and the French Kiss, #1)	Stephanie Perkins
Un beso en París (Un beso en París, #1)	Stephanie Perkins
Othello	William Shakespeare
Othello (The Arden Shakespeare: Third Series)	William Shakespeare
Stardust	Neil Gaiman
The Rosie Project	Graeme Simsion
The Rosie Project (Don Tillman #1)	Graeme Simsion
The Rosie Project (Don Tillman, #1)	Graeme Simsion
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back	Todd Burpo
The Eye of the World (Wheel of Time, #1)	Robert Jordan
Oh, The Places You'll Go!	Dr. Seuss
How the Grinch Stole Christmas!	Dr. Seuss
Island of the Blue Dolphins (Island of the Blue Dolphins, #1)	Scott O'Dell
White Oleander	Janet Fitch
Blood Promise (Vampire Academy, #4)	Richelle Mead
A Prayer for Owen Meany	John Irving
One Day	David Nicholls
The Casual Vacancy	J.K. Rowling
'Salem's Lot	Stephen King
Nineteen Minutes	Jodi Picoult
The Crucible	Arthur Miller
A Walk in the Woods: Rediscovering America on the Appalachian Trail	Bill Bryson
Bilge Adamın Korkusu (Kralkatili Güncesi, #2)	Patrick Rothfuss
El temor de un hombre sabio (Crónica del Asesino de Reyes, #2)	Patrick Rothfuss
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss
Oliver Twist	Charles Dickens
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5)	Douglas Adams
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness
A Discovery Of Witches (All Souls, #1)	Deborah Harkness
Stargirl (Stargirl, #1)	Jerry Spinelli
Evermore (The Immortals, #1)	Alyson Noel
Spirit Bound (Vampire Academy, #5)	Richelle Mead
The Last Lecture	Randy Pausch
Beloved	Toni Morrison
The Red Pyramid (Kane Chronicles, #1)	Rick Riordan
The Call of the Wild	Jack London
The Pact	Jodi Picoult
All Quiet on the Western Front	Erich Maria Remarque
The Death Cure (Maze Runner, #3)	James Dashner
The Death Cure (The Maze Runner, #3)	James Dashner
Will Grayson, Will Grayson	John Green
Will ti presento Will	John Green
Crescendo (Hush, Hush, #2)	Becca Fitzpatrick
La insoportable levedad del ser	Milan Kundera
The Unbearable Lightness of Being	Milan Kundera
Still Alice	Lisa Genova
The Secret (The Secret, #1)	Rhonda Byrne
The Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson
The BFG	Roald Dahl
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward
1st to Die (Women's Murder Club, #1)	James Patterson
Where'd You Go, Bernadette	Maria Semple
We Were Liars	E. Lockhart
Die Erwählte (Throne of Glass, #1)	Sarah J. Maas
L'Assassineuse (Keleana, #1)	Sarah J. Maas
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas
The Thirteenth Tale	Diane Setterfield
The Screwtape Letters	C.S. Lewis
Stranger in a Strange Land	Robert A. Heinlein
The Lorax	Dr. Seuss
The Elite (The Selection, #2)	Kiera Cass
Fear and Loathing in Las Vegas	Hunter S. Thompson
The Runaway Jury	John Grisham
Blade Runner: ¿Sueñan los androides con ovejas eléctricas?	Philip K. Dick
Blade Runner. Czy androidy marzą o elektrycznych owcach?	Philip K. Dick
Do Androids Dream of Electric Sheep?	Philip K. Dick
Clockwork Princess (The Infernal Devices, #3)	Cassandra Clare
Princesa Mecânica (As Peças Infernais, #3)	Cassandra Clare
Who Moved My Cheese?	Spencer Johnson
Betrayed (House of Night, #2)	P.C. Cast
Hatchet (Brian's Saga, #1)	Gary Paulsen
Northanger Abbey	Jane Austen
The Witches	Roald Dahl
The Three Musketeers	Alexandre Dumas
Living Dead in Dallas (Sookie Stackhouse, #2)	Charlaine Harris
Brisingr  (The Inheritance Cycle, #3)	Christopher Paolini
V for Vendetta	Alan Moore
The Importance of Being Earnest	Oscar Wilde
Odd Thomas (Odd Thomas, #1)	Dean Koontz
Winnie-the-Pooh (Winnie-the-Pooh, #1)	A.A. Milne
Where the Heart Is	Billie Letts
Orphan Train	Christina Baker Kline
The Mark of Athena (The Heroes of Olympus, #3)	Rick Riordan
5. Dalga (5. Dalga, #1)	Rick Yancey
Den 5. bølge (Den 5. bølge, #1)	Rick Yancey
La quinta ola (La quinta ola, #1)	Rick Yancey
The 5th Wave (The 5th Wave, #1)	Rick Yancey
The Amber Spyglass (His Dark Materials, #3)	Philip Pullman
The Tell-Tale Heart and Other Writings	Edgar Allan Poe
Mansfield Park	Jane Austen
Just Listen	Sarah Dessen
And the Mountains Echoed	Khaled Hosseini
En uit de bergen kwam de echo	Khaled Hosseini
Traumsammler	Khaled Hosseini
ورددت الجبال الصدى	Khaled Hosseini
Yes Please	Amy Poehler
Untamed (House of Night, #4)	P.C. Cast
Naked	David Sedaris
Go Ask Alice	Beatrice Sparks
Where She Went (If I Stay, #2)	Gayle Forman
The Name of the Rose	Umberto Eco
Big Little Lies	Liane Moriarty
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor
Daughter of Smoke & Bone (Daughter of Smoke and Bone, #1)	Laini Taylor
Hija de humo y hueso (Hija de humo y hueso, #1)	Laini Taylor
The Historian	Elizabeth Kostova
Il colore della magia (Mondo Disco #1 - Scuotivento #1)	Terry Pratchett
Magian väri (Kiekkomaailma, #1)	Terry Pratchett
The Color of Magic (Discworld, #1; Rincewind #1)	Terry Pratchett
Before I Fall	Lauren Oliver
Perfume: The Story of a Murderer	Patrick Süskind
Fyren mellan haven	M.L. Stedman
The Light Between Oceans	M.L. Stedman
Club Dead (Sookie Stackhouse, #3)	Charlaine Harris
Fried Green Tomatoes at the Whistle Stop Cafe	Fannie Flagg
Storm Front (The Dresden Files, #1)	Jim Butcher
Dead to the World (Sookie Stackhouse, #4)	Charlaine Harris
Hotel on the Corner of Bitter and Sweet	Jamie Ford
Pretties (Uglies, #2)	Scott Westerfeld
Last Sacrifice (Vampire Academy, #6)	Richelle Mead
Mistborn: The Final Empire (Mistborn, #1)	Brandon Sanderson
The Final Empire (Mistborn, #1)	Brandon Sanderson
Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)	Jeff Kinney
Things Fall Apart (The African Trilogy, #1)	Chinua Achebe
A Farewell to Arms	Ernest Hemingway
The Undomestic Goddess	Sophie Kinsella
For Whom the Bell Tolls	Ernest Hemingway
Dress Your Family in Corduroy and Denim	David Sedaris
The Horse and His Boy (Chronicles of Narnia, #5)	C.S. Lewis
A Study in Scarlet (Sherlock Holmes, #1)	Arthur Conan Doyle
The City of Ember (Book of Ember, #1)	Jeanne DuPrau
Perfect Chemistry (Perfect Chemistry, #1)	Simone Elkeles
Neuromancer (Sprawl, #1)	William Gibson
Little Bee	Chris Cleave
Pequena Abelha	Chris Cleave
Quiet: The Power of Introverts in a World That Can't Stop Talking	Susan Cain
Harry Potter Boxset (Harry Potter, #1-7)	J.K. Rowling
Bel Canto	Ann Patchett
A Little Princess	Frances Hodgson Burnett
A Pequena Princesa	Frances Hodgson Burnett
John Adams	David McCullough
A Short History of Nearly Everything	Bill Bryson
The Princess Diaries (The Princess Diaries, #1)	Meg Cabot
I, Robot (Robot, #0.1)	Isaac Asimov
A Million Little Pieces	James Frey
The Good Earth (House of Earth, #1)	Pearl S. Buck
Red Dragon (Hannibal Lecter, #1)	Thomas Harris
Black Beauty	Anna Sewell
A Streetcar Named Desire	Tennessee Williams
The Paris Wife	Paula McLain
Norwegian Wood	Haruki Murakami
Norweigan Wood	Haruki Murakami
Peter Pan	J.M. Barrie
Bez naděje (Bez naděje, #1)	Colleen Hoover
Hopeless (Hopeless, #1)	Colleen Hoover
Under the Dome	Stephen King
Their Eyes Were Watching God	Zora Neale Hurston
Message in a Bottle	Nicholas Sparks
Pandemonium (Delirium, #2)	Lauren Oliver
Fast Food Nation: The Dark Side of the All-American Meal	Eric Schlosser
The One (The Selection, #3)	Kiera Cass
L'élue (La sélection, #3)	Kiera Cass
The One (The Selection, #3)	Kiera Cass
Robinson Crusoe	Daniel Defoe
Fantastic Beasts and Where to Find Them	J.K. Rowling
Animales fantásticos y dónde encontrarlos	Newt Scamander
The Namesake	Jhumpa Lahiri
The Clan of the Cave Bear (Earth's Children, #1)	Jean M. Auel
If You Give a Mouse a Cookie	Laura Joffe Numeroff
Cold Mountain	Charles Frazier
Easy (Contours of the Heart, #1)	Tammara Webber
Much Ado About Nothing	William Shakespeare
Little House on the Prairie (Little House, #2)	Laura Ingalls Wilder
The Velveteen Rabbit	Margery Williams
Dragonfly in Amber (Outlander, #2)	Diana Gabaldon
